iter	RMSE
0	0.5446934544
1	0.5327026251
2	0.5216734109
3	0.5106204772
4	0.499909085
5	0.4895697492
6	0.4797025571
7	0.4701431396
8	0.4611018137
9	0.452204342
10	0.4437192797
11	0.4350326586
12	0.4270945773
13	0.4194207937
14	0.4118360762
15	0.4044901446
16	0.3974325092
17	0.3909692191
18	0.3845164683
19	0.3782257282
20	0.3723737909
21	0.366931741
22	0.3611904622
23	0.3558098476
24	0.3508709368
25	0.3458420603
26	0.3409983252
27	0.3363472615
28	0.3319509072
29	0.3275812606
30	0.3237067897
31	0.319826452
32	0.3159179119
33	0.3123156815
34	0.3086087405
35	0.3054458637
36	0.3021801381
37	0.2989775165
38	0.295984694
39	0.2931618112
40	0.2901239277
41	0.2872392298
42	0.2845966438
43	0.2821482144
44	0.2797014854
45	0.2772570606
46	0.274932079
47	0.2727052185
48	0.2706764863
49	0.2686602782
50	0.2667688079
51	0.2648978189
52	0.263038609
53	0.2612551697
54	0.2595867121
55	0.2580305569
56	0.2565093631
57	0.2549823514
58	0.2535193933
59	0.2520113568
60	0.2507615912
61	0.2494920934
62	0.2482286247
63	0.2471628069
64	0.2461244173
65	0.2450010473
66	0.2439051479
67	0.2428270523
68	0.2417520765
69	0.2407181364
70	0.2397423508
71	0.2387543601
72	0.2378823205
73	0.2369983807
74	0.2361900459
75	0.2354322425
76	0.2347359029
77	0.2339870959
78	0.2332850457
79	0.2326355211
80	0.2319216701
81	0.2312298627
82	0.2304629212
83	0.2298834546
84	0.2292188972
85	0.2286410891
86	0.2280779217
87	0.2274949388
88	0.2270048537
89	0.2264227152
90	0.2259546645
91	0.2254476666
92	0.2249365336
93	0.2244459671
94	0.2239787534
95	0.2235625742
96	0.2229642769
97	0.2224710557
98	0.2220553824
99	0.2215668801
100	0.2211922545
101	0.2207805206
102	0.2203981203
103	0.2199087742
104	0.2195633288
105	0.2191772165
106	0.2189154989
107	0.2185631005
108	0.2182257946
109	0.2179170449
110	0.2176147381
111	0.2173652062
112	0.2169872933
113	0.216746805
114	0.2163877349
115	0.2161141291
116	0.2158978032
117	0.2155472547
118	0.2152440502
119	0.2149617893
120	0.214667319
121	0.2144098294
122	0.2140942564
123	0.2138363656
124	0.2134848658
125	0.2131508467
126	0.2129122822
127	0.2126711861
128	0.2123645622
129	0.2121807461
130	0.2119649782
131	0.2117551395
132	0.2115873936
133	0.2113705524
134	0.2111949506
135	0.210961799
136	0.2107379339
137	0.2104458798
138	0.2102951526
139	0.2100991652
140	0.2098573925
141	0.2096984611
142	0.2094540732
143	0.2092691792
144	0.2090990964
145	0.2089247309
146	0.2087164037
147	0.2084593232
148	0.2083015004
149	0.2081219046
150	0.2079509975
151	0.2078025006
152	0.2076059667
153	0.2073827395
154	0.2072635535
155	0.2070856051
156	0.2069443454
157	0.2067450994
158	0.2065317791
159	0.206368067
160	0.2061923891
161	0.2060399008
162	0.2058149994
163	0.2056828878
164	0.2055643142
165	0.20542382
166	0.2053032044
167	0.2051647295
168	0.2050363369
169	0.2048972822
170	0.2047733226
171	0.2045841358
172	0.2044166688
173	0.204256955
174	0.204081582
175	0.2039204391
176	0.2037893406
177	0.2036449772
178	0.2034639631
179	0.2032734765
180	0.2031464437
181	0.2030040919
182	0.2028401892
183	0.2026964049
184	0.2025594
185	0.2024201913
186	0.2022878765
187	0.2020961458
188	0.2019531164
189	0.2017661792
190	0.2016394123
191	0.2014806459
192	0.2014012806
193	0.2012345807
194	0.2010707487
195	0.2009134283
196	0.2007732771
197	0.2006688037
198	0.2004698256
199	0.2003302478
200	0.2002136322
201	0.2000285623
202	0.199936575
203	0.1997828279
204	0.1995699339
205	0.1994698287
206	0.1993586121
207	0.1991682433
208	0.1990600934
209	0.1989905532
210	0.1988953936
211	0.1987128441
212	0.1985953788
213	0.1984627013
214	0.1982727081
215	0.1981348163
216	0.1980154783
217	0.1979218601
218	0.1977914272
219	0.197687014
220	0.1975786319
221	0.1974646107
222	0.1973364115
223	0.1972300134
224	0.197082579
225	0.1969587629
226	0.1968737194
227	0.1967332674
228	0.1966515404
229	0.196468686
230	0.1963875454
231	0.1962539756
232	0.1961578147
233	0.1960281769
234	0.1958344587
235	0.19573871
236	0.1955824254
237	0.1954998347
238	0.1953991076
239	0.1952966575
240	0.1950621167
241	0.1949960883
242	0.1948511817
243	0.1946821671
244	0.1945529768
245	0.1944742247
246	0.1943736046
247	0.1942852554
248	0.194153598
249	0.1940467826
250	0.1938754068
251	0.1937838526
252	0.1936795055
253	0.1935476818
254	0.1934202505
255	0.193307318
256	0.1931045845
257	0.1929806816
258	0.1928781312
259	0.1927798413
260	0.1926710924
261	0.1925647786
262	0.1923384203
263	0.1921696953
264	0.1920210098
265	0.1918229623
266	0.1917644813
267	0.19160353
268	0.1915138928
269	0.1913594799
270	0.1912194283
271	0.1910882012
272	0.1909240533
273	0.190855335
274	0.1907040446
275	0.1906548397
276	0.1905245861
277	0.1904554942
278	0.190336466
279	0.190247759
280	0.1901421973
281	0.1899610159
282	0.1898760767
283	0.1897854447
284	0.1896658509
285	0.1895823768
286	0.1894676078
287	0.18933448
288	0.1892236821
289	0.1891373106
290	0.1889450599
291	0.1888350525
292	0.1886971536
293	0.188573341
294	0.1884963583
295	0.1884108203
