iter	Passed	Remaining
0	24	38558
1	45	36665
2	67	36155
3	90	35917
4	110	35290
5	131	34820
6	153	34825
7	174	34630
8	194	34430
9	217	34542
10	238	34491
11	261	34570
12	283	34550
13	305	34570
14	327	34568
15	348	34485
16	369	34406
17	390	34356
18	410	34162
19	432	34157
20	452	34038
21	473	33986
22	495	34005
23	517	33983
24	539	33985
25	560	33949
26	583	33985
27	604	33951
28	624	33853
29	645	33787
30	667	33765
31	686	33659
32	707	33587
33	726	33464
34	746	33394
35	767	33341
36	788	33318
37	810	33331
38	831	33274
39	852	33229
40	872	33175
41	892	33110
42	912	33055
43	934	33044
44	955	33016
45	974	32929
46	994	32860
47	1018	32925
48	1041	32968
49	1063	32963
50	1087	33038
51	1110	33046
52	1131	33033
53	1153	33020
54	1175	33021
55	1197	33009
56	1219	33001
57	1238	32940
58	1259	32908
59	1281	32880
60	1301	32844
61	1322	32800
62	1342	32764
63	1364	32754
64	1385	32711
65	1406	32685
66	1427	32653
67	1447	32605
68	1467	32569
69	1488	32531
70	1508	32496
71	1530	32478
72	1551	32456
73	1572	32424
74	1594	32428
75	1614	32366
76	1635	32345
77	1655	32313
78	1675	32261
79	1694	32187
80	1713	32141
81	1736	32148
82	1758	32146
83	1778	32100
84	1800	32085
85	1821	32065
86	1842	32045
87	1864	32027
88	1884	31988
89	1905	31969
90	1926	31944
91	1945	31895
92	1967	31875
93	1987	31838
94	2008	31816
95	2029	31789
96	2050	31767
97	2071	31741
98	2091	31716
99	2111	31679
100	2131	31629
101	2151	31594
102	2171	31556
103	2192	31534
104	2213	31515
105	2235	31508
106	2256	31490
107	2276	31449
108	2295	31404
109	2316	31375
110	2336	31342
111	2356	31313
112	2378	31293
113	2397	31257
114	2417	31212
115	2437	31177
116	2456	31136
117	2478	31129
118	2499	31108
119	2521	31098
120	2542	31079
121	2562	31043
122	2585	31044
123	2606	31026
124	2629	31024
125	2650	31012
126	2672	30997
127	2693	30979
128	2713	30939
129	2733	30909
130	2754	30883
131	2774	30855
132	2792	30797
133	2812	30771
134	2833	30751
135	2855	30737
136	2877	30728
137	2900	30724
138	2919	30689
139	2940	30661
140	2960	30635
141	2981	30612
142	3002	30589
143	3021	30551
144	3044	30545
145	3064	30516
146	3084	30489
147	3103	30449
148	3123	30414
149	3142	30373
150	3159	30317
151	3176	30263
152	3197	30237
153	3217	30212
154	3238	30191
155	3258	30162
156	3277	30128
157	3298	30103
158	3320	30097
159	3342	30083
160	3363	30059
161	3381	30015
162	3400	29977
163	3418	29930
164	3437	29891
165	3455	29852
166	3475	29826
167	3493	29780
168	3512	29744
169	3532	29711
170	3553	29697
171	3575	29685
172	3597	29670
173	3615	29629
174	3637	29619
175	3658	29597
176	3678	29573
177	3698	29546
178	3717	29514
179	3738	29492
180	3757	29458
181	3778	29438
182	3797	29403
183	3815	29365
184	3835	29334
185	3854	29299
186	3873	29266
187	3894	29247
188	3915	29235
189	3938	29224
190	3959	29210
191	3982	29202
192	4001	29174
193	4021	29147
194	4043	29135
195	4063	29111
196	4083	29081
197	4101	29040
198	4118	28997
199	4140	28980
200	4161	28965
201	4182	28943
202	4202	28917
203	4222	28897
204	4241	28863
205	4261	28835
206	4281	28810
207	4301	28785
208	4320	28755
209	4340	28727
210	4361	28709
211	4383	28698
212	4403	28675
213	4424	28654
214	4444	28630
215	4465	28614
216	4486	28591
217	4508	28581
218	4528	28557
219	4546	28519
220	4566	28494
221	4586	28469
222	4606	28442
223	4624	28406
224	4644	28384
225	4663	28352
226	4682	28321
227	4700	28287
228	4720	28259
229	4738	28224
230	4758	28197
231	4779	28185
232	4800	28167
233	4819	28137
234	4840	28114
235	4860	28090
236	4881	28071
237	4901	28048
238	4921	28024
239	4940	27997
240	4962	27984
241	4983	27963
242	5000	27927
243	5020	27902
244	5043	27891
245	5063	27870
246	5085	27857
247	5105	27834
248	5127	27818
249	5146	27790
250	5166	27767
251	5187	27750
252	5208	27731
253	5229	27712
254	5251	27698
255	5272	27680
256	5293	27661
257	5313	27636
258	5334	27621
259	5356	27604
260	5376	27583
261	5396	27560
262	5417	27542
263	5438	27523
264	5457	27495
265	5479	27478
266	5499	27456
267	5519	27434
268	5539	27410
269	5559	27383
270	5580	27365
271	5600	27345
272	5620	27320
273	5639	27291
274	5663	27285
275	5684	27267
276	5701	27232
277	5721	27206
278	5741	27184
279	5762	27164
280	5782	27142
281	5803	27125
282	5822	27096
283	5841	27067
284	5860	27040
