Product_Title,Price,Brand,Currency,PreReduction_Price, Discount
Youth 530,52.25,New Balance,BHD,,
Youth Runfalcon 5 El,12.98,Adidas,BHD,21.57,-40%
Kids Tensaur Comfort Ac,16.39,Adidas,BHD,21.57,-25%
NIKE V5 RNR E BP,38.59,Nike,BHD,,
Air Jordan 1 Mid,40.52,Jordan,BHD,57.35,-30%
Youth Gel-Nyc Gs,49.51,asics,BHD,52.36,-6%
Youth Handball Spezial,35.4,adidas Originals,BHD,46.50,-24%
Kids Handball Spezial,20.38,adidas Originals,BHD,30.24,-33%
Tensaur Comfort Shoes Kids,23.79,Adidas,BHD,,
Kids Tensaur Run 3.0 El,15.48,Adidas,BHD,19.41,-21%
Youth Runfalcon 5,18.78,Adidas,BHD,24.83,-25%
Tensaur Switch Shoes Kids,15.6,Adidas,BHD,20.49,-24%
Youth Runfalcon 5 El,12.98,Adidas,BHD,21.57,-40%
Air Jordan 1 Mid,40.52,Jordan,BHD,57.35,-30%
Kids Tensaur Run 3.0 El,15.48,Adidas,BHD,19.41,-21%
Youth Tensaur Run 3.0,11.95,Adidas,BHD,22.66,-48%
Youth Runfalcon 5,14.68,Adidas,BHD,24.83,-41%
Kids Runfalcon 5 El,16.39,Adidas,BHD,21.57,-25%
Kids Club Ii Era,21.29,PUMA,BHD,28.08,-25%
Youth Gazelle,21.63,adidas Originals,BHD,43.26,-50%
Kids Chuck Taylor All Star,17.99,CONVERSE,BHD,27.00,-34%
Kids Chuck Taylor All Star,14.91,CONVERSE,BHD,19.41,-24%
Kids Copa Pure Iv League Tf,17.99,Adidas,BHD,32.41,-45%
Infant Samba Og Cf El,23.91,adidas Originals,BHD,30.24,-21%
Infant Samba Crib,15.71,adidas Originals,BHD,20.49,-24%
Youth Tensaur Run 3.0,11.95,Adidas,BHD,22.66,-48%
Youth Deportivo III TF,14.12,Adidas,BHD,18.32,-23%
Youth Copa Pure IV Club IN,13.78,Adidas,BHD,22.66,-40%
Youth Runfalcon 5,14.68,Adidas,BHD,24.83,-41%
Kids Campus 00S C,20.95,adidas Originals,BHD,35.67,-42%
