Review Title,Reviewer Name,Reviewer Location,Review Time,Verified,Review Text,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Overall Rating,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended
"""absolutely lovely experience""",A Halshan,Kuwait,11th October 2023,Trip Verified,"It was an absolutely lovely experience and the cabin crew were all very accommodating and excellent, I would like to personally thank Joseph and Tom for making our flight as comfortable as possible.",,Couple Leisure,Business Class,Vienna to Kuwait via Doha,October 2023,10,5.0,5.0,5.0,4.0,4.0,4,yes
"""Toilets were a mess""",P Pearson,United Kingdom,11th October 2023,Trip Verified,"Colombo to Doha - aircraft used was an Airbus A330. Qatar really need to either renovate or replace these, as the cabin on this one was really showing its age and was very tired, including a non-functioning seat next to me (was only able to be in full recline mode",A330,Business,Economy Class,Colombo to Doha,October 2023,7,3.0,5.0,5.0,2.0,3.0,4,yes
"""IFE is exceptional""",P Pearson,United Kingdom,11th October 2023,Trip Verified,"Doha to London Heathrow, 10th October 2023. 777ER which is always a bit cramped now that most airlines have squeezed in 10 abreast - noticeably less spacious than the Qatar A380 which is also 10 abreast. Cabin was clean and well-maintained and took a while for the air conditioning to kick in after engine start up, but when it did, wow it was cold! I normally like a cool cabin, as its possible to get warm with a blanket etc., but impossible to cool down if the cabin is too warm, but this was a bit far on the cool side, even with a blanket - maybe it was just me though? IFE is exceptional on these updated/more modern cabins and aircraft was kept clean throughout, including the washrooms. Despite many airlines simplifying food provision since Covid, the food was great, particularly the dessert which as well as being tasty, had a white chocolate in the middle, complete with Qatar branding! Bang on time and unlike every recent experience at Heathrow (my record being a 2.5 hour wait",Boeing 777ER,Business,Economy Class,Doha to London Heathrow,October 2023,10,5.0,5.0,5.0,5.0,4.0,4,yes
"""Offered me 10,000 avios as compensation""",N Putul,Australia,10th October 2023,Trip Verified,"Flew from Singapore - Doha - Milan Return, out bound flights were great but Doha to Singapore was bad, After three hours of sleep, I went to put the Qsuite up and it broke, got up out of my seat and tried to fix it and there was no interaction from the crew until I rang the bell. Flight attendant came and said that it was my fault as my shoes were under the seat. Seat was then adjusted to a ridiculous position which was uncomfortable to sit in. Breakfast came and flight attendant tried to set up table but could not be done due to position of seat, left me sitting there before I complained to the cabin services manager. They try to fix it, they managed to manually position seat for me but only a few hours to landing. Qatar complaints was hopeless saying staff did everything possible and they blamed turbulence on the flight for not attending to seat first. Offered me 10,000 avios as compensation.",A350-1000,Business,Business Class,Doha to Singapore,September 2023,1,1.0,1.0,3.0,5.0,,1,no
"""spoiled by the ground staff at Doha""",Tony Halliwell,United Arab Emirates,7th October 2023,Trip Verified,"Wonderful experience spoiled by the ground staff at Doha. The flight from London Heathrow started out amazingly with the service at the premium check-in and passage through the security fast lane. The Qatar premium lounge at Heathrow is an oasis of calm and the food and drinks are excellent. Some of the staff lacked the polished 5 star touch. Service and comfort on our A380, although not the new q-suites, was excellent. Delicious food for breakfast and lunch. A stark contrast to the poor offerings on our outbound flight. The seats were comfortable. The Heathrow flight arrived at an A-Gate and the Dubai flight departed from C-gate. When we got to the C-gate we politely asked if there was a lounge close to the gate and received a very terse and rude no response from the Qatar Airways lady who was setting up the gate. Business/first passengers were made to hang around for 30 minutes whilst economy class passengers were bussed out to the plane. Not the service we paid for. Service on the flight to Dubai (A350",A380,Couple Leisure,Business Class,London Heathrow to Dubai via Doha,October 2023,8,4.0,5.0,5.0,4.0,2.0,4,yes
"""Excellent experience let down by delays""",Tony Halliwell,United Arab Emirates,7th October 2023,Trip Verified,Excellent experience let down by delays on the flight from Dubai which meant we didn't have chance to try the lounge in Doha and limited food options on the night flight to Gatwick. The food was little more than snacks and not the 5 star service we expected. The food was a stark contrast to the morning return journey from Heathrow. The food on that flight was amazing. The seats on the 777 to Doha were the old style 2-2-2 seats but that didn't matter on such a short flight. On the flight to Gatwick the seats were comfortable but sadly not the new qsuites.,Boeing 787-8,Couple Leisure,Business Class,Dubai to Gatwick via Doha,September 2023,7,4.0,4.0,3.0,,5.0,4,yes
"""five star customer service""",K Mansour,United Kingdom,6th October 2023,Trip Verified,"Brilliant, five star customer service provided by Namvkwla, Tae Vi and Calvin onboard QR962 on 2nd October. Nothing was to much for them. Food was okay, seat was fine onboard the new A350-100.",A350-1000,Couple Leisure,Economy Class,London Heathrow to Denpasar Bali via Doha,October 2023,10,4.0,5.0,4.0,4.0,4.0,4,yes
"""missing bag apparently was traced in AMS""",Philip Armstrong,South Africa,5th October 2023,Trip Verified,"It pains me to share this experience as I have always been a big fan of Qatar, having flown on it many times in my career while based in Washington DC and Geneva (business and first class",,Couple Leisure,Economy Class,Amsterdam to Cape Town via Doha,September 2023,1,,4.0,3.0,3.0,1.0,1,no
"""things went fairly smooth""",Ladislav Habart,Thailand,4th October 2023,Trip Verified,"Although it was very early morning, things went fairly smooth. I was moved further up as they needed my seat for someone with medical problems which I was totally ok with. However the seat 19D armrest was falling apart. Food was very nice, and had a nice sleep. Perhaps on those early morning flights would be nice to have a choice (sticker",Boeing 777,Solo Leisure,Economy Class,Bangkok to Doha,October 2023,9,3.0,5.0,5.0,4.0,5.0,4,yes
"""seating was simply just too small""",C Hardy,Australia,3rd October 2023,Trip Verified,"The seats felt like auditorium seating, Ok for 20 minutes but leave your bottom numb for anything longer. The seating was simply just too small and packed in and the cushioning was basically non existent. Sitting on the isle I was kicked, bumped and stood on nearly every time a staff member came past. This was supposedly in a seat that gave me more leg room and I paid extra for.",Boeing 777-300er,Couple Leisure,Economy Class,Manchester to Brisbane via Doha,September 2023,1,1.0,1.0,,,1.0,1,no
