University,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_trans,Accept_trans,Enroll_trans,Top10perc_trans,F.Undergrad_trans,P.Undergrad_trans,Outstate_trans,Books_trans,Personal_trans,PhD_trans,Terminal_trans,S.F.Ratio_trans,perc.alumni_trans,Expend_trans,Accept_Rate,Outstate_Tier,Outstate_Tier_Encoded,Private_Binary,Apps_trans_scaled,Accept_trans_scaled,Enroll_trans_scaled,Top10perc_trans_scaled,F.Undergrad_trans_scaled,P.Undergrad_trans_scaled,Outstate_trans_scaled,Books_trans_scaled,Personal_trans_scaled,PhD_trans_scaled,Terminal_trans_scaled,S.F.Ratio_trans_scaled,perc.alumni_trans_scaled,Expend_trans_scaled,Outstate_Tier_Encoded_scaled,Private_Binary_scaled,Accept_Rate_scaled
Abilene Christian University,Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70.0,78,18.1,12,7041,60,0.02740124519257351,0.04117903975544095,0.4919483147451794,-0.05535924019800304,0.4310140594037605,0.2971342976942823,-0.6961599072897634,-0.6123645719001103,1.2699349117627599,-0.28135254105451407,-0.28426944576076923,1.0183222708466413,2.5649493574615367,-0.49236800032382644,0.7421686746987952,Medium,1,1,0.02740124519257549,0.04117903975544044,0.4919483147451793,-0.05535924019800339,0.4310140594037607,0.2971342976942823,-0.696159907289764,-0.6123645719001114,1.2699349117627599,-0.2813525410545138,-0.2842694457607694,1.0183222708466413,-0.7220983044119356,-0.4923680003238462,-0.1956652640334113,0.6116481628986593,-0.02967471598000674
Adelphi University,Yes,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29.0,30,12.2,16,10527,56,0.28249650528625625,0.4859616067573858,0.1410648572207567,-0.5869798775002458,0.362821567936526,0.866012650580195,0.5540175012219459,1.3020758268351074,0.45315926745983204,-2.165157353031758,-2.2531269594177603,-0.43321149887569577,2.833213344056216,0.550197700593009,0.8801463860933212,High,2,1,0.28249650528625825,0.4859616067573853,0.1410648572207566,-0.5869798775002462,0.3628215679365262,0.866012650580195,0.5540175012219454,1.3020758268351063,0.45315926745983204,-2.165157353031758,-2.2531269594177603,-0.4332114988756959,-0.28442673308665156,0.5501977005929892,0.944489469995865,0.6116481628986593,0.9090138080393496
Adrian College,Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53.0,66,12.9,30,8735,54,-0.11429154130506432,-0.07689340372049104,-0.31663524412186134,-0.12317328725215088,-0.6380787183651518,-0.731187491696729,0.31959382748895326,-1.0363568533512697,-0.07302793413906522,-1.2442020010279624,-1.043538715681609,-0.24846454923986663,3.4339872044851463,0.09453079358636808,0.7682072829131653,Medium,1,1,-0.11429154130506233,-0.07689340372049155,-0.31663524412186145,-0.12317328725215122,-0.6380787183651516,-0.731187491696729,0.31959382748895265,-1.0363568533512708,-0.07302793413906523,-1.2442020010279624,-1.0435387156816092,-0.24846454923986672,0.6957333056977036,0.09453079358634833,-0.1956652640334113,0.6116481628986593,0.14747087126905856
Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92.0,97,7.7,37,19016,59,-1.3329862432514348,-1.2943164260589928,-1.3953591718072456,1.6129900485361512,-1.5301629435213244,-0.978073602816756,0.7017976329262113,-0.6123645719001103,-0.6569502596071131,1.341403144864573,1.3641998780964426,-1.7398472254812787,3.6375861597263857,1.7251202272424098,0.8369304556354916,High,2,1,-1.3329862432514328,-1.2943164260589932,-1.3953591718072456,1.6129900485361508,-1.5301629435213242,-0.978073602816756,0.7017976329262108,-0.6123645719001114,-0.6569502596071131,1.3414031448645733,1.3641998780964424,-1.7398472254812787,1.027904149021728,1.72512022724239,0.944489469995865,0.6116481628986593,0.6150076416405599
Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76.0,72,11.9,2,10922,15,-2.153150971142174,-2.2875437507103524,-2.655373246618048,-0.5869798775002458,-2.5838241864610794,0.6228278275395103,-0.6594891351919577,1.5529512055696202,0.45315926745983204,0.11925016044057488,-0.6894200381937529,-0.5136535653803216,1.0986122886681098,0.6348461113072892,0.7564766839378239,Medium,1,1,-2.153150971142172,-2.287543750710353,-2.655373246618048,-0.5869798775002462,-2.583824186461079,0.6228278275395103,-0.6594891351919583,1.552951205569619,0.45315926745983204,0.11925016044057521,-0.6894200381937531,-0.5136535653803217,-3.114421094876494,0.6348461113072694,-0.1956652640334113,0.6116481628986593,0.06766538292796768
Albertson College,Yes,587,479,158,38,62,678,41,13500,3335,500,675,,73,9.4,11,9727,55,-0.9834308340810279,-0.9480300005611981,-1.2138480027834464,0.7669280001041869,-1.1551706429482578,-1.202669182113896,0.8155718355108026,-0.22765194755775608,-1.1755040226218845,,-0.6255094012427664,-1.2180613616385254,2.4849066497880004,0.362786279752027,0.8160136286201022,High,2,1,-0.9834308340810259,-0.9480300005611987,-1.2138480027834464,0.7669280001041866,-1.1551706429482576,-1.202669182113896,0.815571835510802,-0.22765194755775722,-1.1755040226218845,,-0.6255094012427667,-1.2180613616385254,-0.852687646967027,0.3627862797520072,0.944489469995865,0.6116481628986593,0.47270650271165987
Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90.0,93,11.5,26,8861,63,-1.5064929510620402,-1.323230277037814,-1.770489065256438,-0.5015854459843752,-1.8130646642464325,-0.24008629469706552,0.7716870108811061,-0.22765194755775608,0.45315926745983204,1.1764343828889745,0.9685980032703505,-0.6221549224859483,3.295836866004329,0.13115209178523818,0.9631728045325779,High,2,1,-1.5064929510620382,-1.3232302770378144,-1.770489065256438,-0.5015854459843755,-1.8130646642464323,-0.2400862946970655,0.7716870108811056,-0.22765194755775722,0.45315926745983204,1.176434382888975,0.9685980032703503,-0.6221549224859484,0.4703416066867776,0.13115209178521844,0.944489469995865,0.6116481628986593,1.4738582701750749
Albion College,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89.0,100,13.7,37,11487,73,0.15269748518522105,0.37541528659222845,0.09254013513757756,0.7205326499516104,-0.1591649389728042,-1.3279607426982682,0.8914082746680744,-0.6123645719001103,-0.7153794007989659,1.0952544342623864,1.6787449188088972,-0.042063017762791505,3.6375861597263857,0.7480527278136273,0.9057398630858347,High,2,1,0.15269748518522303,0.37541528659222795,0.09254013513757745,0.72053264995161,-0.15916493897280395,-1.3279607426982682,0.8914082746680738,-0.6123645719001114,-0.7153794007989659,1.0952544342623869,1.678744918808897,-0.042063017762791595,1.027904149021728,0.7480527278136075,0.944489469995865,0.6116481628986593,1.0831310832123813
Albright College,Yes,1038,839,227,30,63,973,306,15595,4400,300,500,79.0,84,11.3,23,11644,80,-0.4196961340830525,-0.3533210800419817,-0.7700564727491778,0.366554546031348,-0.7116261611470295,-0.06422037218143571,1.230711793721237,-2.0455431007594878,-1.762612679540301,0.3313811845790514,0.17448981323324272,-0.6769586136955272,3.1780538303479458,0.7779993798981817,0.8082851637764933,High,2,1,-0.4196961340830505,-0.3533210800419822,-0.7700564727491779,0.3665545460313477,-0.7116261611470293,-0.0642203721814357,1.2307117937212364,-2.045543100759489,-1.762612679540301,0.3313811845790518,0.17448981323324256,-0.6769586136955273,0.27817907698770655,0.7779993798981619,0.944489469995865,0.6116481628986593,0.4201282914653576
Alderson-Broaddus College,Yes,582,498,172,21,44,799,78,10468,3380,660,1800,40.0,41,11.5,15,8991,52,-0.9920701188552312,-0.9060079613102475,-1.1076548137596889,-0.19331757344218942,-0.9492208654784312,-0.8627930904769537,0.13203992009261553,0.8112182447734043,0.8390302691130443,-1.807313389043056,-2.030381401930652,-0.6221549224859483,2.772588722239781,0.16810487890685447,0.8556701030927835,Medium,1,1,-0.9920701188552292,-0.9060079613102481,-1.1076548137596889,-0.19331757344218975,-0.949220865478431,-0.8627930904769537,0.13203992009261495,0.8112182447734032,0.8390302691130443,-1.807313389043056,-2.030381401930652,-0.6221549224859484,-0.3833355498391961,0.16810487890683473,-0.1956652640334113,0.6116481628986593,0.7424970153556413
