University / College,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_trans,Accept_trans,Enroll_trans,Top10perc_trans,F.Undergrad_trans,P.Undergrad_trans,Outstate_trans,Books_trans,Personal_trans,PhD_trans,Terminal_trans,S.F.Ratio_trans,perc.alumni_trans,Expend_trans,Accept_Rate,Outstate_Tier,Outstate_Tier_Encoded,Private_Encoded,Apps_trans_scaled,Accept_trans_scaled,Enroll_trans_scaled,Top10perc_trans_scaled,F.Undergrad_trans_scaled,P.Undergrad_trans_scaled,Outstate_trans_scaled,Books_trans_scaled,Personal_trans_scaled,PhD_trans_scaled,Terminal_trans_scaled,S.F.Ratio_trans_scaled,perc.alumni_trans_scaled,Expend_trans_scaled,Outstate_Tier_Encoded_scaled,Private_Encoded_scaled
Abilene Christian University,Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70.0,78,18.1,12,7041,60,0.027794170542252482,0.04102778860141398,0.49337479126560313,-0.053119072030679164,0.4335994064806973,0.3001555111149251,8.914760527397261,-0.6142542984789047,1.2713984993834921,-0.27950799936922294,-0.28237352323745246,2.9496883350525844,2.5649493574615367,-0.49118269843375684,0.7421686746987952,Medium,2,1,0.027794170542253215,0.041027788601415094,0.4933747912656024,-0.053119072030679226,0.43359940648069784,0.3001555111149254,-0.6447350289306018,-0.6142542984789046,1.2713984993834933,-0.27950799936922266,-0.2823735232374524,0.9852377786141739,-0.7227012651918747,-0.491182698433797,-0.19371671978391944,0.6125530498969481
Adelphi University,Yes,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29.0,30,12.2,16,10527,56,0.2829202044206749,0.4858210116017325,0.14221363903731324,-0.5849046607537621,0.36538161940562885,0.8682389489526622,9.415808631610384,1.3023649764046783,0.4565508868862346,-2.150359465401662,-2.2481293668347866,2.580216829592325,2.833213344056216,0.5523622369819019,0.8801463860933212,High,3,1,0.2829202044206756,0.48582101160173363,0.14221363903731254,-0.5849046607537622,0.3653816194056294,0.8682389489526624,0.5932380465568056,1.3023649764046783,0.4565508868862356,-2.1503594654016616,-2.2481293668347866,-0.35563352169945744,-0.28448920152158647,0.5523622369818617,0.9465703353077874,0.6125530498969481
Adrian College,Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53.0,66,12.9,30,8735,54,-0.11391602631457269,-0.07704594401713065,-0.31597748023315525,-0.12094221917214974,-0.6367744332943974,-0.7272538841097254,9.328212292571072,-1.0385747644227592,-0.06865514297677516,-1.2377941478806587,-1.0407110988557453,2.631888840136646,3.4339872044851463,0.09639280596058719,0.7682072829131653,Medium,2,1,-0.11391602631457196,-0.07704594401712954,-0.31597748023315597,-0.12094221917214981,-0.6367744332943969,-0.7272538841097251,0.376807910747314,-1.0385747644227592,-0.0686551429767743,-1.2377941478806584,-1.0407110988557453,-0.16810751510776464,0.696881263144984,0.09639280596054699,-0.19371671978391944,0.6125530498969481
Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92.0,97,7.7,37,19016,59,-1.3327694509817887,-1.2944460595624299,-1.3963882439476925,1.6144757210802636,-1.5312067984905091,-0.9740319705249556,9.469700127423375,-0.6142542984789047,-0.6517337337581389,1.3432519828466059,1.3645882269351624,2.163323025660538,3.6375861597263857,1.726997292492287,0.8369304556354916,High,3,1,-1.332769450981788,-1.2944460595624288,-1.3963882439476931,1.6144757210802636,-1.5312067984905084,-0.9740319705249554,0.7263913710644401,-0.6142542984789046,-0.6517337337581381,1.343251982846606,1.3645882269351624,-1.868607942485578,1.0294623131395182,1.7269972924922468,0.9465703353077874,0.6125530498969481
Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76.0,72,11.9,2,10922,15,-2.15304958766458,-2.287608178960452,-2.65921245857165,-0.5849046607537621,-2.5889009383551747,0.6254175275588529,8.93075873555827,1.5536080298286021,0.4565508868862346,0.12029538781672189,-0.6870519494859656,2.5572273113676265,1.0986122886681098,0.6370436045066592,0.7564766839378239,Medium,2,1,-2.153049587664579,-2.2876081789604505,-2.659212458571651,-0.5849046607537622,-2.588900938355174,0.6254175275588532,-0.6052071856100995,1.5536080298286021,0.4565508868862356,0.12029538781672215,-0.6870519494859656,-0.4390661673567591,-3.1179783991407715,0.637043604506619,-0.19371671978391944,0.6125530498969481
Albertson College,Yes,587,479,158,38,62,678,41,13500,3335,500,675,,73,9.4,11,9727,55,-0.9831669114228405,-0.9481727218976576,-1.2145441688060648,0.7690207208177242,-1.1550990508649248,-1.1985700260580425,9.510519035757246,-0.2291946039516519,-1.1697588648030377,,-0.6232192944825511,2.341805806147327,2.4849066497880004,0.3648514210769269,0.8160136286201022,High,3,1,-0.9831669114228397,-0.9481727218976564,-1.2145441688060654,0.7690207208177241,-1.1550990508649241,-1.1985700260580423,0.8272453790193883,-0.22919460395165178,-1.169758864803037,,-0.6232192944825511,-1.2208653306249313,-0.8534518760234878,0.36485142107688673,0.9465703353077874,0.6125530498969481
Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90.0,93,11.5,26,8861,63,-1.5063000160279127,-1.3233585876454557,-1.7722654599603764,-0.4994689411839057,-1.8150655120615597,-0.2364992154928749,9.494842393421333,-0.2291946039516519,0.4565508868862346,1.177918331343909,0.9692990979140862,2.5257286443082556,3.295836866004329,0.13304593063730483,0.9631728045325779,High,3,1,-1.506300016027912,-1.3233585876454546,-1.772265459960377,-0.4994689411839058,-1.815065512061559,-0.23649921549287461,0.7885120498984546,-0.22919460395165178,0.4565508868862356,1.1779183313439092,0.9692990979140862,-0.553379877707523,0.47121122188858366,0.1330459306372646,0.9465703353077874,0.6125530498969481
Albion College,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89.0,100,13.7,37,11487,73,0.15310561817763538,0.37527117805619203,0.09364363716824842,0.7226458157909562,-0.15706162447411603,-1.323847012672887,9.537411412656335,-0.6142542984789047,-0.7100928488101287,1.0965862993596573,1.6789026453905742,2.6878474937846906,3.6375861597263857,0.7502823344555293,0.9057398630858347,High,3,1,0.1531056181776361,0.37527117805619314,0.09364363716824772,0.7226458157909561,-0.15706162447411548,-1.3238470126728867,0.8936901739542269,-0.6142542984789046,-0.7100928488101279,1.0965862993596576,1.6789026453905742,0.03497540623249623,1.0294623131395182,0.7502823344554891,0.9465703353077874,0.6125530498969481
Albright College,Yes,1038,839,227,30,63,973,306,15595,4400,300,500,79.0,84,11.3,23,11644,80,-0.41935890159128253,-0.3534741599348467,-0.7700207143202807,0.3687770077049723,-0.7104745655794537,-0.06079782059427027,9.654769750102489,-2.048308048513365,-1.7565250579131293,0.33223178550107846,0.17590711389826053,2.509599262378372,3.1780538303479458,0.7802351502105349,0.8082851637764933,High,3,1,-0.4193589015912818,-0.3534741599348456,-0.7700207143202814,0.36877700770497224,-0.7104745655794531,-0.06079782059426999,1.1836552705600134,-2.048308048513365,-1.7565250579131289,0.33223178550107874,0.17590711389826055,-0.6119159894291465,0.2788113855351543,0.7802351502104947,0.9465703353077874,0.6125530498969481
Alderson-Broaddus College,Yes,582,498,172,21,44,799,78,10468,3380,660,1800,40.0,41,11.5,15,8991,52,-0.9918073458047852,-0.9061519216966295,-1.1081651194371072,-0.1910995085854955,-0.9486144612853745,-0.8587961830100914,9.256173788319355,0.8108421980583805,0.8415717373961816,-1.7962182335670882,-2.0259049331637793,2.5257286443082556,2.772588722239781,0.17002953770072857,0.8556701030927835,Medium,2,1,-0.9918073458047845,-0.9061519216966284,-1.1081651194371078,-0.19109950858549554,-0.948614461285374,-0.8587961830100912,0.1988175582998834,0.8108421980583806,0.8415717373961827,-1.796218233567088,-2.0259049331637793,-0.553379877707523,-0.3835201634208818,0.17002953770068835,-0.19371671978391944,0.6125530498969481
